candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,rebuffering_rate_delta_mean,rebuffering_rate_delta_ci95_low,rebuffering_rate_delta_ci95_high,payload_bitrate_delta_mean_kbps,payload_bitrate_delta_ci95_low_kbps,payload_bitrate_delta_ci95_high_kbps,startup_delay_delta_mean_s,startup_delay_delta_ci95_low_s,startup_delay_delta_ci95_high_s,noninferiority_margin_percent,startup_noninferiority_margin_s,rebuffer_eligible,startup_eligible,eligible,selected,rank
guard_wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,-151.17899807994218,-1226.7919306110987,924.4339344512143,0.0,0.0,0.0,0.0,0.0,True,True,True,True,1
guard_wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,-260.51929481584705,-1476.936640523701,955.8980508920071,0.0,0.0,0.0,0.0,0.0,True,True,True,False,2
guard_wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,-293.70605224879097,-1756.3019577875841,1168.8898532900023,0.0,0.0,0.0,0.0,0.0,True,True,True,False,3
guard_wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,-555.6521277709883,-1719.756318204226,608.4520626622495,0.0,0.0,0.0,0.0,0.0,True,True,True,False,4
