training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
11,4000,0.05,19,56,-0.12013520477364131,0.01362007354001554
23,4000,0.05,19,56,-0.1221268490929752,0.07710986177600175
37,4000,0.05,18,56,-0.12154218536152245,0.01362007354001554
53,4000,0.05,17,56,-0.0793436857627278,0.011919700793650767
71,4000,0.05,19,56,-0.12466254640458121,0.011919700793650767
