dataset,scope,trace,comparison,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
evaluation,per_trace,evaluation_challenging,standard_minus_static,startup_delay_s,lower,5,0.9223057644110273,0.23537557657892516,0.29221052631578937,0.6300952380952379,1.2145162907268165,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,rebuffering_s,lower,5,-9.477780975063585,1.8178725079148077,2.256824985980096,-11.73460596104368,-7.220955989083489,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,rebuffering_rate_percent,lower,5,-15.796301625105972,3.029787513191348,3.761374976633496,-19.557676601739466,-12.034926648472476,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,average_bitrate_kbps,higher,5,350.00000000000006,159.4260539142416,197.92185663370614,152.07814336629392,547.9218566337062,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,buffer_mean_s,descriptive,5,-3.513508258649563,0.327200571452928,0.406208038169275,-3.919716296818838,-3.1073002204802878,True
evaluation,per_trace,evaluation_challenging,standard_minus_static,buffer_std_s,lower,5,-1.6889269689813406,0.0804848882652745,0.09991916707032357,-1.7888461360516643,-1.589007801911017,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,startup_delay_s,lower,5,0.6641604010025062,0.3456920858178877,0.42916460496136516,0.23499579604114101,1.0933250059638713,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,rebuffering_s,lower,5,-19.14746008822096,0.004275964142547928,0.005308459572407683,-19.152768547793368,-19.142151628648552,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,rebuffering_rate_percent,lower,5,-31.912433480368264,0.007126606904245249,0.00884743262067786,-31.92128091298894,-31.903586047747588,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,average_bitrate_kbps,higher,5,-113.33333333333334,34.15650255319873,42.40410043065812,-155.73743376399148,-70.92923290267522,True
evaluation,per_trace,evaluation_challenging,robust_minus_static,buffer_mean_s,descriptive,5,-0.8339857746922972,0.7485966529104862,0.929356499619075,-1.763342274311372,0.09537072492677778,False
evaluation,per_trace,evaluation_challenging,robust_minus_static,buffer_std_s,lower,5,-0.9948940575105605,0.13640607734309673,0.16934336277550494,-1.1642374202860655,-0.8255506947350555,True
evaluation,per_trace,evaluation_challenging,robust_minus_standard,startup_delay_s,lower,5,-0.25814536340852123,0.5201331576073357,0.6457270798772483,-0.9038724432857695,0.3875817164687271,False
evaluation,per_trace,evaluation_challenging,robust_minus_standard,rebuffering_s,lower,5,-9.669679113157375,1.8177271569623124,2.256644537868417,-11.926323651025793,-7.413034575288958,True
evaluation,per_trace,evaluation_challenging,robust_minus_standard,rebuffering_rate_percent,lower,5,-16.11613185526229,3.029545261603855,3.7610742297806965,-19.877206085042985,-12.355057625481592,True
evaluation,per_trace,evaluation_challenging,robust_minus_standard,average_bitrate_kbps,higher,5,-463.33333333333337,172.1594867815564,213.7299671184283,-677.0633004517617,-249.60336621490507,True
evaluation,per_trace,evaluation_challenging,robust_minus_standard,buffer_mean_s,descriptive,5,2.6795224839572658,0.5104384018293103,0.6336913804662268,2.045831103491039,3.3132138644234925,True
evaluation,per_trace,evaluation_challenging,robust_minus_standard,buffer_std_s,lower,5,0.6940329114707801,0.1402393193594247,0.1741021983495578,0.5199307131212223,0.8681351098203378,True
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,startup_delay_s,lower,5,0.8104818497857547,0.20468816941742557,0.25411318619128465,0.55636866359447,1.0645950359770393,True
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,rebuffering_s,lower,5,3.1330644372370666,6.631555877182705,8.232844126520263,-5.099779689283196,11.36590856375733,False
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,rebuffering_rate_percent,lower,5,5.221774062061778,11.052593128637843,13.721406877533774,-8.499632815471996,18.94318093959555,False
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,average_bitrate_kbps,higher,5,386.66666666666674,241.9251491221568,300.3415910074542,86.32507565921253,687.008257674121,True
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,buffer_mean_s,descriptive,5,-2.053834272308584,0.7417553238997858,0.9208632295017064,-2.97469750181029,-1.1329710428068775,True
evaluation,overall_per_seed,all_evaluation_traces,standard_minus_static,buffer_std_s,lower,5,-1.2296179968041772,0.4837280174203385,0.6005313746589737,-1.830149371463151,-0.6290866221452035,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,startup_delay_s,lower,5,0.5843079472875738,0.30307823142403173,0.37626099872591695,0.2080469485616569,0.9605689460134907,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,rebuffering_s,lower,5,-13.878179534577736,3.4412301329660613,4.272166564361384,-18.15034609893912,-9.606012970216351,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,rebuffering_rate_percent,lower,5,-23.130299224296227,5.735383554943434,7.120277607268972,-30.250576831565198,-16.010021617027256,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,average_bitrate_kbps,higher,5,-128.8888888888889,162.6554337348027,201.93101846245403,-330.819907351343,73.04212957356512,False
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,buffer_mean_s,descriptive,5,0.5719527487938048,1.0683977813433927,1.326378388695268,-0.7544256399014633,1.8983311374890728,False
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_static,buffer_std_s,lower,5,-0.527709208856148,0.45770721783330515,0.5682274642320773,-1.0959366730882252,0.040518255375929235,False
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,startup_delay_s,lower,5,-0.2261739024981809,0.454380682250593,0.5640976869307922,-0.7902715894289731,0.3379237844326113,False
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,rebuffering_s,lower,5,-17.011243971814803,4.910804700750183,6.096591868609141,-23.107835840423945,-10.914652103205661,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,rebuffering_rate_percent,lower,5,-28.352073286358006,8.184674501250305,10.160986447681902,-38.513059734039906,-18.191086838676107,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,average_bitrate_kbps,higher,5,-515.5555555555557,305.6161556068351,379.41174262205715,-894.9672981776127,-136.1438129334985,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,buffer_mean_s,descriptive,5,2.625787021102389,1.3879021565825973,1.723031869085318,0.9027551520170711,4.348818890187707,True
evaluation,overall_per_seed,all_evaluation_traces,robust_minus_standard,buffer_std_s,lower,5,0.7019087879480292,0.8163262837102219,1.0134404617311277,-0.31153167378309843,1.715349249679157,False
validation,per_trace,validation_bursty,standard_minus_static,startup_delay_s,lower,5,0.9968203497615263,0.24173707864862604,0.30010810810810823,0.6967122416534182,1.2969284578696345,True
validation,per_trace,validation_bursty,standard_minus_static,rebuffering_s,lower,5,26.59420030586449,21.48485696768951,26.672696690103948,-0.07849638423945748,53.26689699596844,False
validation,per_trace,validation_bursty,standard_minus_static,rebuffering_rate_percent,lower,5,44.323667176440814,35.80809494614918,44.454494483506586,-0.13082730706577195,88.7781616599474,False
validation,per_trace,validation_bursty,standard_minus_static,average_bitrate_kbps,higher,5,836.6666666666666,456.95246531292014,567.2904654388065,269.3762012278602,1403.9571321054732,True
