training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
11,4000,0.05,92,168,0.49048492462244925,0.0
23,4000,0.05,93,168,0.44162723200531623,0.0049938949938950475
37,4000,0.05,92,168,0.4818420660746774,0.05308136308136311
53,4000,0.05,90,168,0.39741716827057966,0.2710728160728161
71,4000,0.05,91,168,0.425592014839466,0.19921189921189922
