trace,controller,seed,segments,video_duration_s,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,buffer_mean_s,buffer_std_s
evaluation_challenging,static,42,30,60.0,0.5012531328320802,19.1505828109089,31.9176380181815,1200.0,7.738384154090675,3.3543563111077046
evaluation_challenging,q-learning,42,30,60.0,1.5288220551378444,8.087985685811777,13.479976143019629,1700.0,4.352062277497059,1.7831160495579932
