candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,target_buffer_s,training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
wr10_wb1,1.0,10.0,0.25,1.0,8.0,11,4000,0.05,19,56,-0.12013520477364131,0.01362007354001554
wr10_wb1,1.0,10.0,0.25,1.0,8.0,23,4000,0.05,19,56,-0.1221268490929752,0.07710986177600175
wr10_wb1,1.0,10.0,0.25,1.0,8.0,37,4000,0.05,18,56,-0.12154218536152245,0.01362007354001554
wr10_wb1,1.0,10.0,0.25,1.0,8.0,53,4000,0.05,17,56,-0.0793436857627278,0.011919700793650767
wr10_wb1,1.0,10.0,0.25,1.0,8.0,71,4000,0.05,19,56,-0.12466254640458121,0.011919700793650767
wr10_wb2,1.0,10.0,0.25,2.0,8.0,11,4000,0.05,19,56,-0.3652469482308316,0.0
wr10_wb2,1.0,10.0,0.25,2.0,8.0,23,4000,0.05,19,56,-0.39444235581253556,0.03454860746031744
wr10_wb2,1.0,10.0,0.25,2.0,8.0,37,4000,0.05,19,56,-0.3825717954679984,0.03454860746031744
wr10_wb2,1.0,10.0,0.25,2.0,8.0,53,4000,0.05,17,56,-0.3616564623832607,0.0
wr10_wb2,1.0,10.0,0.25,2.0,8.0,71,4000,0.05,19,56,-0.43118326219046155,0.06909721492063488
wr20_wb1,1.0,20.0,0.25,1.0,8.0,11,4000,0.05,19,56,-0.12722899307573277,0.01362007354001554
wr20_wb1,1.0,20.0,0.25,1.0,8.0,23,4000,0.05,19,56,-0.06604809003194033,0.011919700793650767
wr20_wb1,1.0,20.0,0.25,1.0,8.0,37,4000,0.05,18,56,-0.1778196434299528,0.057724965952713904
wr20_wb1,1.0,20.0,0.25,1.0,8.0,53,4000,0.05,17,56,-0.12875444661513027,0.011919700793650767
wr20_wb1,1.0,20.0,0.25,1.0,8.0,71,4000,0.05,19,56,-0.18485059607759063,0.06909721492063488
wr20_wb2,1.0,20.0,0.25,2.0,8.0,11,4000,0.05,19,56,-0.364932470121118,0.0
wr20_wb2,1.0,20.0,0.25,2.0,8.0,23,4000,0.05,19,56,-0.3529786771389877,0.0
wr20_wb2,1.0,20.0,0.25,2.0,8.0,37,4000,0.05,19,56,-0.4414064552330313,0.07531739015873012
wr20_wb2,1.0,20.0,0.25,2.0,8.0,53,4000,0.05,17,56,-0.368484592980652,0.011919700793650767
wr20_wb2,1.0,20.0,0.25,2.0,8.0,71,4000,0.05,19,56,-0.5296616966824809,0.1381629946031746
wr30_wb1,1.0,30.0,0.25,1.0,8.0,11,4000,0.05,19,56,-0.13708423185340646,0.01362007354001554
wr30_wb1,1.0,30.0,0.25,1.0,8.0,23,4000,0.05,19,56,-0.10541229314729397,0.03454860746031744
wr30_wb1,1.0,30.0,0.25,1.0,8.0,37,4000,0.05,18,56,-0.06164365565728605,0.0
wr30_wb1,1.0,30.0,0.25,1.0,8.0,53,4000,0.05,17,56,-0.133336731362715,0.03454860746031744
wr30_wb1,1.0,30.0,0.25,1.0,8.0,71,4000,0.05,19,56,-0.3712355955758384,0.15403552581018978
wr30_wb2,1.0,30.0,0.25,2.0,8.0,11,4000,0.05,19,56,-0.3607772109900106,0.0
wr30_wb2,1.0,30.0,0.25,2.0,8.0,23,4000,0.05,19,56,-0.45034990594286356,0.06339768936507935
wr30_wb2,1.0,30.0,0.25,2.0,8.0,37,4000,0.05,19,56,-0.4469946527280563,0.01362007354001554
wr30_wb2,1.0,30.0,0.25,2.0,8.0,53,4000,0.05,17,56,-0.38279315211127996,0.0
wr30_wb2,1.0,30.0,0.25,2.0,8.0,71,4000,0.05,19,56,-0.6040941881609824,0.10153357077566874
