candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,rebuffering_rate_delta_mean,rebuffering_rate_delta_ci95_low,rebuffering_rate_delta_ci95_high,payload_bitrate_delta_mean_kbps,payload_bitrate_delta_ci95_low_kbps,payload_bitrate_delta_ci95_high_kbps,startup_delay_delta_mean_s,startup_delay_delta_ci95_low_s,startup_delay_delta_ci95_high_s,noninferiority_margin_percent,startup_noninferiority_margin_s,rebuffer_eligible,startup_eligible,eligible,selected,rank
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,923.7169209286106,-660.8427746939086,2508.27661655113,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,True,1
wstartup025,1.0,10.0,0.25,2.0,0.25,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,513.7089102228443,-1087.3940680838132,2114.8118885295016,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,False,2
wstartup005,1.0,10.0,0.25,2.0,0.05,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,73.83562925467086,-2605.395429323708,2753.06668783305,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,False,3
wstartup010,1.0,10.0,0.25,2.0,0.1,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,125.18859137720604,-2516.7167098710684,2767.0938926254807,0.6973457130391154,0.348088969449899,1.0466024566283318,0.0,0.0,True,False,False,False,4
