candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,training_seed,episodes,final_epsilon,visited_states,total_states,mean_reward_last_window,mean_rebuffering_last_window_s
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,11,4000,0.05,19,56,-0.38285156050686725,0.0
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,23,4000,0.05,19,56,-0.47894110634043324,0.03454860746031744
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,37,4000,0.05,19,56,-0.4484154895495677,0.06339768936507935
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,53,4000,0.05,19,56,-0.4118768649139524,0.0
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,71,4000,0.05,19,56,-0.4365770481986652,0.0
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,11,4000,0.05,19,56,-0.42334990655956156,0.0
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,23,4000,0.05,19,56,-0.44509002983664375,0.0
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,37,4000,0.05,18,56,-0.49217292583310973,0.03454860746031744
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,53,4000,0.05,17,56,-0.49566102307210635,0.06339768936507935
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,71,4000,0.05,19,56,-0.5723333556707935,0.09794629682539678
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,11,4000,0.05,19,56,-0.49892003631958964,0.0
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,23,4000,0.05,19,56,-0.546041435285257,0.0
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,37,4000,0.05,19,56,-0.5564197625719298,0.0
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,53,4000,0.05,19,56,-0.5325404361707303,0.0
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,71,4000,0.05,19,56,-0.568368421171049,0.011919700793650767
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,11,4000,0.05,19,56,-0.783376217923125,0.0
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,23,4000,0.05,19,56,-0.7901805556311569,0.0035872739502719364
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,37,4000,0.05,18,56,-0.8349544739035615,0.03454860746031744
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,53,4000,0.05,19,56,-0.8998637982894792,0.1234860711590631
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,71,4000,0.05,19,56,-0.8410348749509906,0.0
