candidate_id,quality_weight,rebuffering_weight,switch_weight,low_buffer_weight,startup_weight,target_buffer_s,rebuffering_rate_delta_mean,rebuffering_rate_delta_ci95_low,rebuffering_rate_delta_ci95_high,payload_bitrate_delta_mean_kbps,payload_bitrate_delta_ci95_low_kbps,payload_bitrate_delta_ci95_high_kbps,startup_delay_delta_mean_s,startup_delay_delta_ci95_low_s,startup_delay_delta_ci95_high_s,noninferiority_margin_percent,startup_noninferiority_margin_s,rebuffer_eligible,startup_eligible,eligible,selected,rank
wstartup050,1.0,10.0,0.25,2.0,0.5,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,923.7169209286106,-660.8427746939086,2508.27661655113,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,True,1
wstartup200,1.0,10.0,0.25,2.0,2.0,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,343.16064932798247,-1805.4712496188577,2491.7925482748224,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,False,2
wstartup100,1.0,10.0,0.25,2.0,1.0,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,131.34033862803471,-1916.210805408209,2178.8914826642786,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,False,3
wstartup500,1.0,10.0,0.25,2.0,5.0,8.0,-0.49494811995854393,-0.49494811995854393,-0.49494811995854393,71.8303368825299,-1867.0063935822307,2010.6670673472906,0.6048783319600897,0.2633333062171544,0.946423357703025,0.0,0.0,True,False,False,False,4
