sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
sita_sings_the_blues,51,L3,8000,5583,1,759084,39.091446,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0051.266,595a82b0c499b7ccb75c919832164924e363f039a3e395f0354d6836c38ac5f8
sita_sings_the_blues,52,L0,1000,973,1,144313,40.857417,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0052.266,ea7b2115a5644bd758b714041584d2c15d0dcb7b26035f82c160cb2a919059f5
sita_sings_the_blues,52,L1,2000,1801,1,281431,44.046237,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0052.266,78a7cee1f6d1d4231f8f21e8d37d301f1d6a358b9dca5e781d76f32d8c7f1dcb
sita_sings_the_blues,52,L2,4000,3219,1,503720,47.384740,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0052.266,089876705778b190459630b2af2fc90acf0677c4d597ad7af1378e9917ee77a5
sita_sings_the_blues,52,L3,8000,5583,1,717332,49.434379,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0052.266,0bcb258a3ebd5ac1d6de0dc9ba3b5a4ea9563ba8a2170cd48c24846aa9d39b21
sita_sings_the_blues,53,L0,1000,973,1,111573,58.279685,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0053.266,e5ed418305e8616c97f2bea6dc8ad496900f7644fb33616c12e4e6eb295ee51d
sita_sings_the_blues,53,L1,2000,1801,1,139044,60.107225,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0053.266,43c41633c8c7b6670e87015a77d41e33a01aacf8e5d231ef9d81a5284cefd2c4
sita_sings_the_blues,53,L2,4000,3219,1,170000,61.935012,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0053.266,1ec15fbfaa9960ff3cf216cb32c441ef7bdbdecae823f1c04619a8d2456038d0
sita_sings_the_blues,53,L3,8000,5583,1,188071,62.956094,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0053.266,ffeaeb1e69c7f099cde00598bd1f57f09f58f599c2a109d7044ff4773f5cff0f
sita_sings_the_blues,54,L0,1000,973,1,92088,57.824605,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0054.266,12ceeae9017d4205a042784b3a315228440ec578779885dc29cc1c2127f9f4ce
sita_sings_the_blues,54,L1,2000,1801,1,109891,59.619113,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0054.266,3ce8f155b7747962fbefd4b3e78f0b52a70f323053c7b8c6bff1379478932ad5
sita_sings_the_blues,54,L2,4000,3219,1,119785,60.580205,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0054.266,22d300e43a5debbc44f777fbf482c9391562827507ac2c659e8429b11277e379
sita_sings_the_blues,54,L3,8000,5583,1,140769,62.451310,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0054.266,9c46038f6ed4c0b18cdad956905b1cbe9f4f808c4ee0d0c87f04a9d15c78b758
sita_sings_the_blues,55,L0,1000,973,1,97382,55.576280,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0055.266,aac53834a2996ddf1e43f3c3745209f89d9e5dddf82a1b06cf539f86030d077a
sita_sings_the_blues,55,L1,2000,1801,1,118572,57.458270,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0055.266,fd3750d79de010260be3a368c6665c8a9e32c70d1b60371c14cc44f88e7d1381
sita_sings_the_blues,55,L2,4000,3219,1,141223,59.281313,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0055.266,f7c19c43eaf78847731cdf79ea6b2afd1c7c8b6e6bdfe4661fe77975dafae48e
sita_sings_the_blues,55,L3,8000,5583,1,154018,60.309312,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0055.266,d24fee30d70ead2d62e6acf315a0d186ba77e8764142a090e0e8dbc3a149777d
sita_sings_the_blues,56,L0,1000,973,1,233542,49.483383,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0056.266,1d1ad893ff82e681551a51dad8efcde30eafa9f2cffbf6f29ec5e8052f667595
sita_sings_the_blues,56,L1,2000,1801,1,290931,51.194123,../encoded/full/sita_sings_the_blues/bitrate_002000kbps/segment_0056.266,6391337d238753c043b8e76f20facd225c1311b965048c9e07f1594600699492
sita_sings_the_blues,56,L2,4000,3219,1,323646,52.071116,../encoded/full/sita_sings_the_blues/bitrate_004000kbps/segment_0056.266,cea34050a97b596109e701de54d850bd9588f2d8688ea773edbbb3b5421aab30
sita_sings_the_blues,56,L3,8000,5583,1,396879,53.835382,../encoded/full/sita_sings_the_blues/bitrate_008000kbps/segment_0056.266,5cba175900a6e599a6738b4a7d833baac1d9b6ad717ceea3fdf4af44b22d4965
sita_sings_the_blues,57,L0,1000,973,1,121974,31.111662,../encoded/full/sita_sings_the_blues/bitrate_001000kbps/segment_0057.266,113c21b1cc2fa316ca91e40fd4354ec77194d7343a88690024627618ecc300c3
