scope,content,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,average_bitrate_kbps,higher,10,1090.3833333333334,0.0,0.0,1090.3833333333334,1090.3833333333334
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,average_payload_bitrate_kbps,higher,10,1090.9121333333335,0.0,0.0,1090.9121333333335,1090.9121333333335
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,buffer_mean_s,descriptive,10,3.952411584492796,0.0,0.0,3.952411584492796,3.952411584492796
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,buffer_std_s,lower,10,1.3956638712101228,0.0,0.0,1.3956638712101228,1.3956638712101228
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_objective_reward,higher,10,-1.0919884329357572,0.0,0.0,-1.0919884329357572,-1.0919884329357572
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_quality_utility,higher,10,0.03893228358347067,0.0,0.0,0.03893228358347067,0.03893228358347067
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,mean_psnr_y_db,higher,10,43.1226041,0.0,0.0,43.1226041,43.1226041
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,switch_count,lower,10,4.0,0.0,0.0,4.0,4.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,robust-mpc,high_representation_fraction_percent,descriptive,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,startup_delay_s,lower,10,2.851962818260521,0.0,0.0,2.851962818260521,2.851962818260521
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,rebuffering_s,lower,10,15.317258391814724,5.182770506577921,3.707273094183332,11.609985297631392,19.024531485998054
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,rebuffering_rate_percent,lower,10,25.528763986357877,8.637950844296535,6.178788490305554,19.349975496052323,31.70755247666343
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,average_bitrate_kbps,higher,10,1513.0083333333334,85.55088921257176,61.19516759591987,1451.8131657374136,1574.2035009292533
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,average_payload_bitrate_kbps,higher,10,1504.17904,90.71381533729082,64.88824586074647,1439.2907941392534,1569.0672858607466
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,buffer_mean_s,descriptive,10,1.5437659992642863,0.10200541694017738,0.07296520986281621,1.47080078940147,1.6167312091271024
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,buffer_std_s,lower,10,0.7786757129183304,0.04016431370292139,0.02872982304506767,0.7499458898732627,0.807405535963398
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,mean_objective_reward,higher,10,-3.980992947869082,0.8437228745974457,0.6035210526825786,-4.5845140005516605,-3.3774718951865035
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,mean_quality_utility,higher,10,0.2565589245618483,0.04538853956816134,0.03246674945605954,0.22409217510578877,0.28902567401790785
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,mean_psnr_y_db,higher,10,44.262627599999995,0.30476700346353913,0.21800203395100304,44.04462556604899,44.480629633951
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,switch_count,lower,10,23.6,7.411702458499891,5.301644182704079,18.29835581729592,28.901644182704082
per_content_trace,big_buck_bunny,stage56_evaluation_low_start,q-learning,high_representation_fraction_percent,descriptive,10,1.0,2.1081851067789197,1.508,-0.508,2.508
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,startup_delay_s,lower,10,1.7073510311174505,0.0,0.0,1.7073510311174505,1.7073510311174505
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,average_bitrate_kbps,higher,10,2711.633333333333,0.0,0.0,2711.633333333333,2711.633333333333
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,average_payload_bitrate_kbps,higher,10,2733.8700000000003,0.0,0.0,2733.8700000000003,2733.8700000000003
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,buffer_mean_s,descriptive,10,12.584085850498559,0.0,0.0,12.584085850498559,12.584085850498559
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,buffer_std_s,lower,10,5.095644014638611,0.0,0.0,5.095644014638611,5.095644014638611
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,mean_objective_reward,higher,10,0.5024485047139094,0.0,0.0,0.5024485047139094,0.5024485047139094
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,mean_quality_utility,higher,10,0.6523165695005567,0.0,0.0,0.6523165695005567,0.6523165695005567
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,mean_psnr_y_db,higher,10,46.45673158333333,0.0,0.0,46.45673158333333,46.45673158333333
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,switch_count,lower,10,3.0,0.0,0.0,3.0,3.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,static,high_representation_fraction_percent,descriptive,10,63.333333333333336,0.0,0.0,63.333333333333336,63.333333333333336
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,startup_delay_s,lower,10,2.447545217574185,0.0,0.0,2.447545217574185,2.447545217574185
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,average_bitrate_kbps,higher,10,2497.8166666666666,0.0,0.0,2497.8166666666666,2497.8166666666666
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,average_payload_bitrate_kbps,higher,10,2472.7336,0.0,0.0,2472.7336,2472.7336
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,buffer_mean_s,descriptive,10,11.573495225117217,0.0,0.0,11.573495225117217,11.573495225117217
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,buffer_std_s,lower,10,5.915349862028561,0.0,0.0,5.915349862028561,5.915349862028561
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,mean_objective_reward,higher,10,0.3304304116036324,0.0,0.0,0.3304304116036324,0.3304304116036324
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,mean_quality_utility,higher,10,0.6360993007598855,0.0,0.0,0.6360993007598855,0.6360993007598855
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,mean_psnr_y_db,higher,10,46.43826756666667,0.0,0.0,46.43826756666667,46.43826756666667
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,switch_count,lower,10,11.0,0.0,0.0,11.0,11.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,throughput,high_representation_fraction_percent,descriptive,10,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,startup_delay_s,lower,10,1.7073510311174505,0.0,0.0,1.7073510311174505,1.7073510311174505
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,average_bitrate_kbps,higher,10,2593.5833333333335,0.0,0.0,2593.5833333333335,2593.5833333333335
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,average_payload_bitrate_kbps,higher,10,2620.8543999999997,0.0,0.0,2620.8543999999997,2620.8543999999997
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,buffer_mean_s,descriptive,10,10.617630848545518,0.0,0.0,10.617630848545518,10.617630848545518
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,buffer_std_s,lower,10,5.513778359345202,0.0,0.0,5.513778359345202,5.513778359345202
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,mean_objective_reward,higher,10,0.3319238368924196,0.0,0.0,0.3319238368924196,0.3319238368924196
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,mean_quality_utility,higher,10,0.6626788428355532,0.0,0.0,0.6626788428355532,0.6626788428355532
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,mean_psnr_y_db,higher,10,46.56477825,0.0,0.0,46.56477825,46.56477825
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,switch_count,lower,10,5.0,0.0,0.0,5.0,5.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,bola-basic,high_representation_fraction_percent,descriptive,10,45.0,0.0,0.0,45.0,45.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,startup_delay_s,lower,10,4.336809508578389,0.0,0.0,4.336809508578389,4.336809508578389
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,average_bitrate_kbps,higher,10,2788.0,0.0,0.0,2788.0,2788.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,average_payload_bitrate_kbps,higher,10,2792.454533333333,0.0,0.0,2792.454533333333,2792.454533333333
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,buffer_mean_s,descriptive,10,12.022121581608285,0.0,0.0,12.022121581608285,12.022121581608285
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,buffer_std_s,lower,10,5.577225218487591,0.0,0.0,5.577225218487591,5.577225218487591
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,mean_objective_reward,higher,10,0.4529093055708028,0.0,0.0,0.4529093055708028,0.4529093055708028
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,mean_quality_utility,higher,10,0.7114979265298628,0.0,0.0,0.7114979265298628,0.7114979265298628
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,mean_psnr_y_db,higher,10,46.76701693333334,0.0,0.0,46.76701693333334,46.76701693333334
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,switch_count,lower,10,6.0,0.0,0.0,6.0,6.0
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,robust-mpc,high_representation_fraction_percent,descriptive,10,58.333333333333336,0.0,0.0,58.333333333333336,58.333333333333336
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,startup_delay_s,lower,10,1.7073510311174505,0.0,0.0,1.7073510311174505,1.7073510311174505
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,rebuffering_s,lower,10,1.2347719387641567,2.6032906213618077,1.862152542672948,-0.6273806039087912,3.096924481437105
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,rebuffering_rate_percent,lower,10,2.0579532312735944,4.338817702269679,3.10358757112158,-1.0456343398479855,5.161540802395175
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,average_bitrate_kbps,higher,10,2539.2033333333334,146.00926737879973,104.44148120543571,2434.761852127898,2643.644814538769
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,average_payload_bitrate_kbps,higher,10,2525.7309866666665,151.6357719044799,108.46616044135418,2417.2648262253124,2634.1971471080205
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,buffer_mean_s,descriptive,10,9.38060706071676,1.061183941171753,0.759072520786392,8.62153453993037,10.139679581503152
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,buffer_std_s,lower,10,5.586736219101526,0.42994282730283495,0.3075412028516272,5.279195016249899,5.894277421953154
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,mean_objective_reward,higher,10,-0.07574597227377129,0.4571999825131739,0.32703844240854324,-0.4027844146823145,0.25129247013477196
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,mean_quality_utility,higher,10,0.6373374388878367,0.05539005308672182,0.039620904154094236,0.5977165347337424,0.6769583430419309
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,mean_psnr_y_db,higher,10,46.459472784999996,0.27918146721401654,0.19970051548366566,46.25977226951633,46.65917330048366
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,switch_count,lower,10,23.0,5.456901847914967,3.9033612182323068,19.096638781767695,26.903361218232305
per_content_trace,big_buck_bunny,stage56_evaluation_mixed_start,q-learning,high_representation_fraction_percent,descriptive,10,40.16666666666667,7.635605354901631,5.461803538107983,34.704863128558685,45.62847020477466
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,startup_delay_s,lower,10,0.6473731938179587,0.0,0.0,0.6473731938179587,0.6473731938179587
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,rebuffering_s,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,rebuffering_rate_percent,lower,10,0.0,0.0,0.0,0.0,0.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,average_bitrate_kbps,higher,10,3016.483333333333,0.0,0.0,3016.483333333333,3016.483333333333
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,average_payload_bitrate_kbps,higher,10,3029.1236,0.0,0.0,3029.1236,3029.1236
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,buffer_mean_s,descriptive,10,8.851602183401448,0.0,0.0,8.851602183401448,8.851602183401448
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,buffer_std_s,lower,10,3.199314058865678,0.0,0.0,3.199314058865678,3.199314058865678
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_objective_reward,higher,10,0.5500075589902839,0.0,0.0,0.5500075589902839,0.5500075589902839
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_quality_utility,higher,10,0.7689832361672234,0.0,0.0,0.7689832361672234,0.7689832361672234
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_psnr_y_db,higher,10,47.16944988333333,0.0,0.0,47.16944988333333,47.16944988333333
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,switch_count,lower,10,3.0,0.0,0.0,3.0,3.0
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,high_representation_fraction_percent,descriptive,10,75.0,0.0,0.0,75.0,75.0
