scope,content,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-538.9974399999999,350.05027777230697,250.3934864084001,-789.3909264084,-288.60395359159975,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,2.997104329569266,1.9330943137763203,1.3827562939331548,1.614348035636111,4.37986062350242,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,buffer_std_s,lower,q-learning_minus_static,10,1.5607111103680347,0.9289270776486895,0.6644682331688271,0.8962428771992076,2.225179343536862,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_objective_reward,higher,q-learning_minus_static,10,-0.16189346328451587,0.13655176498253116,0.09767646158371772,-0.2595699248682336,-0.06421700170079815,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_quality_utility,higher,q-learning_minus_static,10,-0.14806847733617315,0.13050596207695647,0.09335185519489045,-0.2414203325310636,-0.0547166221412827,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,-0.7016071133333298,0.6788777073894612,0.48560611658408104,-1.1872132299174107,-0.21600099674924877,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,switch_count,lower,q-learning_minus_static,10,20.9,5.724217559340898,4.094574073087457,16.80542592691254,24.994574073087456,True
per_content_trace,big_buck_bunny,stage56_evaluation_high_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-38.66666666666667,15.748799679912901,11.265229908390191,-49.93189657505686,-27.401436758276482,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,rebuffering_s,lower,q-learning_minus_static,10,5.361848442505716,1.5532841227695031,1.1110753271164473,4.2507731153892685,6.472923769622163,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,8.936414070842861,2.588806871282506,1.8517922118607464,7.084621858982115,10.788206282703609,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,average_bitrate_kbps,higher,q-learning_minus_static,10,-68.97055555555544,153.61520145135705,109.88206066144988,-178.85261621700533,40.91150510589445,False
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-87.46504888888902,156.1003522837384,111.65970696166353,-199.12475585055256,24.194658072774516,False
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,buffer_mean_s,descriptive,q-learning_minus_static,10,-0.8830845514678651,0.7547155797376249,0.5398534932177991,-1.4229380446856643,-0.34323105825006606,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,buffer_std_s,lower,q-learning_minus_static,10,0.46116928216719655,0.3362494328990707,0.24052164261161021,0.22064763955558633,0.7016909247788068,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,mean_objective_reward,higher,q-learning_minus_static,10,-1.2054094430586635,0.23076455139589755,0.16506754667132117,-1.3704769897299847,-1.0403418963873423,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,mean_quality_utility,higher,q-learning_minus_static,10,0.031170438870985064,0.05794061067173148,0.04144533637583173,-0.01027489750484667,0.0726157752468168,False
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,mean_psnr_y_db,higher,q-learning_minus_static,10,0.22965459055555776,0.31853760767623035,0.22785224638536877,0.0018023441701889853,0.45750683694092653,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,switch_count,lower,q-learning_minus_static,10,21.5,3.5598931874668427,2.5464172521843746,18.953582747815624,24.046417252184376,True
per_content_per_seed,big_buck_bunny,all_evaluation_traces,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-20.27777777777778,6.626680494475144,4.740112314395769,-25.01789009217355,-15.537665463382009,True
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,elephants_dream,stage56_evaluation_low_start,static,rebuffering_s,lower,q-learning_minus_static,10,-4.465758166274398,0.5190257226346768,0.37126283987887576,-4.8370210061532735,-4.094495326395522,True
