content,training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,average_payload_bitrate_kbps,buffer_mean_s,buffer_std_s,mean_objective_reward,mean_quality_utility,mean_psnr_y_db,switch_count,high_representation_fraction_percent
big_buck_bunny,11,,stage56_evaluation_low_start,static,2.851962818260521,0.46648500306173313,0.7774750051028885,1019.0,1019.4377333333334,3.9866451934553506,1.4469711812476902,-1.1048525589652887,0.0,42.874797916666665,0.0,0.0
big_buck_bunny,11,,stage56_evaluation_low_start,throughput,2.851962818260521,1.8201852033039334,3.0336420055065556,1075.0833333333333,1082.858,3.531757934319798,1.4151038245221423,-1.4236198991027185,0.03324841236041196,43.088415866666665,6.0,0.0
big_buck_bunny,11,,stage56_evaluation_low_start,bola-basic,2.851962818260521,3.349454734434379,5.582424557390632,1142.3833333333334,1151.8010666666667,2.613351809206129,1.2233145896353266,-1.8703144636826465,0.07314650719290632,43.32740315,7.0,0.0
big_buck_bunny,11,,stage56_evaluation_low_start,robust-mpc,3.9757797153661274,0.46648500306173313,0.7774750051028885,1090.3833333333334,1090.9121333333335,3.9524115844927965,1.3956638712101228,-1.0919884329357572,0.03893228358347067,43.1226041,4.0,0.0
big_buck_bunny,11,11000033,stage56_evaluation_low_start,q-learning,2.851962818260521,23.307959536490213,38.846599227483686,1572.75,1575.6209333333331,1.6988724326747657,0.8564983178642186,-5.2645242252320745,0.28764597625542343,44.467282149999996,34.0,0.0
big_buck_bunny,11,,stage56_evaluation_mixed_start,static,1.7073510311174505,0.0,0.0,2711.633333333333,2733.8700000000003,12.584085850498559,5.095644014638611,0.5024485047139094,0.6523165695005567,46.45673158333333,3.0,63.333333333333336
big_buck_bunny,11,,stage56_evaluation_mixed_start,throughput,2.447545217574185,0.0,0.0,2497.8166666666666,2472.7336,11.573495225117217,5.915349862028561,0.3304304116036324,0.6360993007598855,46.43826756666667,11.0,33.333333333333336
big_buck_bunny,11,,stage56_evaluation_mixed_start,bola-basic,1.7073510311174505,0.0,0.0,2593.5833333333335,2620.8543999999997,10.617630848545518,5.513778359345202,0.3319238368924196,0.6626788428355532,46.56477825,5.0,45.0
big_buck_bunny,11,,stage56_evaluation_mixed_start,robust-mpc,4.336809508578389,0.0,0.0,2788.0,2792.454533333333,12.022121581608285,5.577225218487591,0.4529093055708028,0.7114979265298628,46.76701693333334,6.0,58.333333333333336
big_buck_bunny,11,11000034,stage56_evaluation_mixed_start,q-learning,1.7073510311174505,0.0,0.0,2490.9,2476.7906666666668,10.66740645160466,6.040192448417081,0.1888410514336788,0.6041824588383448,46.17768373333333,21.0,43.333333333333336
big_buck_bunny,11,,stage56_evaluation_high_start,static,0.6473731938179587,0.0,0.0,3016.483333333333,3029.1236,8.851602183401448,3.199314058865678,0.5500075589902839,0.7689832361672234,47.16944988333333,3.0,75.0
big_buck_bunny,11,,stage56_evaluation_high_start,throughput,1.6989554713602282,0.0,0.0,2671.8166666666666,2687.2466666666664,11.304991324962879,5.648785465682222,0.3673888020278352,0.6897474406993136,47.06756665,13.0,46.666666666666664
big_buck_bunny,11,,stage56_evaluation_high_start,bola-basic,0.6473731938179587,0.0,0.0,2792.0666666666666,2787.207066666667,10.310022933792855,4.006918523711357,0.5754790434953275,0.7478519902085125,47.10346071666667,7.0,41.666666666666664
big_buck_bunny,11,,stage56_evaluation_high_start,robust-mpc,1.6989554713602282,0.0,0.0,2883.75,2853.24,11.3518395528846,4.721182259732989,0.5427791663643332,0.7753973435332037,47.30823778333333,9.0,53.333333333333336
big_buck_bunny,11,11000035,stage56_evaluation_high_start,q-learning,0.6473731938179587,0.0,0.0,2831.75,2810.1068,9.754195813638148,3.523107100210965,0.5289252560641686,0.7411831199237681,47.18724378333333,19.0,53.333333333333336
big_buck_bunny,23,,stage56_evaluation_low_start,static,2.851962818260521,0.46648500306173313,0.7774750051028885,1019.0,1019.4377333333334,3.9866451934553506,1.4469711812476902,-1.1048525589652887,0.0,42.874797916666665,0.0,0.0
big_buck_bunny,23,,stage56_evaluation_low_start,throughput,2.851962818260521,1.8201852033039334,3.0336420055065556,1075.0833333333333,1082.858,3.531757934319798,1.4151038245221423,-1.4236198991027185,0.03324841236041196,43.088415866666665,6.0,0.0
big_buck_bunny,23,,stage56_evaluation_low_start,bola-basic,2.851962818260521,3.349454734434379,5.582424557390632,1142.3833333333334,1151.8010666666667,2.613351809206129,1.2233145896353266,-1.8703144636826465,0.07314650719290632,43.32740315,7.0,0.0
big_buck_bunny,23,,stage56_evaluation_low_start,robust-mpc,3.9757797153661274,0.46648500306173313,0.7774750051028885,1090.3833333333334,1090.9121333333335,3.9524115844927965,1.3956638712101228,-1.0919884329357572,0.03893228358347067,43.1226041,4.0,0.0
big_buck_bunny,23,23000069,stage56_evaluation_low_start,q-learning,2.851962818260521,14.728427690798073,24.547379484663455,1480.95,1464.7438666666667,1.4717297754713339,0.7326378962941197,-3.9001719352446154,0.2535427489170712,44.244267783333335,21.0,0.0
big_buck_bunny,23,,stage56_evaluation_mixed_start,static,1.7073510311174505,0.0,0.0,2711.633333333333,2733.8700000000003,12.584085850498559,5.095644014638611,0.5024485047139094,0.6523165695005567,46.45673158333333,3.0,63.333333333333336
big_buck_bunny,23,,stage56_evaluation_mixed_start,throughput,2.447545217574185,0.0,0.0,2497.8166666666666,2472.7336,11.573495225117217,5.915349862028561,0.3304304116036324,0.6360993007598855,46.43826756666667,11.0,33.333333333333336
big_buck_bunny,23,,stage56_evaluation_mixed_start,bola-basic,1.7073510311174505,0.0,0.0,2593.5833333333335,2620.8543999999997,10.617630848545518,5.513778359345202,0.3319238368924196,0.6626788428355532,46.56477825,5.0,45.0
big_buck_bunny,23,,stage56_evaluation_mixed_start,robust-mpc,4.336809508578389,0.0,0.0,2788.0,2792.454533333333,12.022121581608285,5.577225218487591,0.4529093055708028,0.7114979265298628,46.76701693333334,6.0,58.333333333333336
big_buck_bunny,23,23000070,stage56_evaluation_mixed_start,q-learning,1.7073510311174505,0.0,0.0,2378.6,2362.238,9.986118246133698,5.92279922787263,0.09418060769281832,0.5684476350315333,46.08666148333334,26.0,38.333333333333336
big_buck_bunny,23,,stage56_evaluation_high_start,static,0.6473731938179587,0.0,0.0,3016.483333333333,3029.1236,8.851602183401448,3.199314058865678,0.5500075589902839,0.7689832361672234,47.16944988333333,3.0,75.0
big_buck_bunny,23,,stage56_evaluation_high_start,throughput,1.6989554713602282,0.0,0.0,2671.8166666666666,2687.2466666666664,11.304991324962879,5.648785465682222,0.3673888020278352,0.6897474406993136,47.06756665,13.0,46.666666666666664
