training_seed,policy_seed,trace,controller,startup_delay_s,rebuffering_s,rebuffering_rate_percent,average_bitrate_kbps,average_payload_bitrate_kbps,buffer_mean_s,buffer_std_s,mean_objective_reward,switch_count,high_representation_fraction_percent
11,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,15203.174447174448,5.972953000159774,2.454526969001842,-0.5404617119138526,2.0,6.666666666666667
11,,evaluation_gradual,throughput,1.3297350492346665,0.0,0.0,10026.0,12307.121937521937,8.943588268535843,3.7092550734136447,-0.29090879493075733,0.0,0.0
11,,evaluation_gradual,bola-basic,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
11,,evaluation_gradual,robust-mpc,5.403055517169536,0.0,0.0,24422.7,26285.551983151985,5.993913823819741,2.4911671255416827,-0.3176932621370689,3.0,30.0
11,11099,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
11,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
11,,evaluation_bursty,throughput,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
11,,evaluation_bursty,bola-basic,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
11,,evaluation_bursty,robust-mpc,18.327065834018445,3.652150721196023,12.819061850459892,16424.533333333333,18578.09701649702,3.5181728248523703,1.6312102481212791,-2.2844900144070523,2.0,13.333333333333334
11,11100,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
11,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
11,,evaluation_challenging,throughput,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
11,,evaluation_challenging,bola-basic,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
11,,evaluation_challenging,robust-mpc,9.255978395363408,4.796178351287361,16.834602847621486,16424.533333333333,18578.09701649702,2.161798075659722,1.1348879455218377,-3.020815517709151,2.0,13.333333333333334
11,11101,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
23,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,15203.174447174448,5.972953000159774,2.454526969001842,-0.5404617119138526,2.0,6.666666666666667
23,,evaluation_gradual,throughput,1.3297350492346665,0.0,0.0,10026.0,12307.121937521937,8.943588268535843,3.7092550734136447,-0.29090879493075733,0.0,0.0
23,,evaluation_gradual,bola-basic,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
23,,evaluation_gradual,robust-mpc,5.403055517169536,0.0,0.0,24422.7,26285.551983151985,5.993913823819741,2.4911671255416827,-0.3176932621370689,3.0,30.0
23,23207,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
23,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
23,,evaluation_bursty,throughput,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
23,,evaluation_bursty,bola-basic,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
23,,evaluation_bursty,robust-mpc,18.327065834018445,3.652150721196023,12.819061850459892,16424.533333333333,18578.09701649702,3.5181728248523703,1.6312102481212791,-2.2844900144070523,2.0,13.333333333333334
23,23208,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
23,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
23,,evaluation_challenging,throughput,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
23,,evaluation_challenging,bola-basic,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
23,,evaluation_challenging,robust-mpc,9.255978395363408,4.796178351287361,16.834602847621486,16424.533333333333,18578.09701649702,2.161798075659722,1.1348879455218377,-3.020815517709151,2.0,13.333333333333334
23,23209,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
37,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,15203.174447174448,5.972953000159774,2.454526969001842,-0.5404617119138526,2.0,6.666666666666667
37,,evaluation_gradual,throughput,1.3297350492346665,0.0,0.0,10026.0,12307.121937521937,8.943588268535843,3.7092550734136447,-0.29090879493075733,0.0,0.0
37,,evaluation_gradual,bola-basic,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
37,,evaluation_gradual,robust-mpc,5.403055517169536,0.0,0.0,24422.7,26285.551983151985,5.993913823819741,2.4911671255416827,-0.3176932621370689,3.0,30.0
37,37333,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,20314.46570726571,5.972456363638264,1.761948227380081,-0.4008990963940405,4.0,16.666666666666668
37,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
37,,evaluation_bursty,throughput,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
37,,evaluation_bursty,bola-basic,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
37,,evaluation_bursty,robust-mpc,18.327065834018445,3.652150721196023,12.819061850459892,16424.533333333333,18578.09701649702,3.5181728248523703,1.6312102481212791,-2.2844900144070523,2.0,13.333333333333334
37,37334,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
37,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
37,,evaluation_challenging,throughput,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
37,,evaluation_challenging,bola-basic,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
37,,evaluation_challenging,robust-mpc,9.255978395363408,4.796178351287361,16.834602847621486,16424.533333333333,18578.09701649702,2.161798075659722,1.1348879455218377,-3.020815517709151,2.0,13.333333333333334
37,37335,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
53,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,15203.174447174448,5.972953000159774,2.454526969001842,-0.5404617119138526,2.0,6.666666666666667
53,,evaluation_gradual,throughput,1.3297350492346665,0.0,0.0,10026.0,12307.121937521937,8.943588268535843,3.7092550734136447,-0.29090879493075733,0.0,0.0
53,,evaluation_gradual,bola-basic,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
53,,evaluation_gradual,robust-mpc,5.403055517169536,0.0,0.0,24422.7,26285.551983151985,5.993913823819741,2.4911671255416827,-0.3176932621370689,3.0,30.0
53,53477,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,20314.46570726571,5.972456363638264,1.761948227380081,-0.4008990963940405,4.0,16.666666666666668
53,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
53,,evaluation_bursty,throughput,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
53,,evaluation_bursty,bola-basic,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
53,,evaluation_bursty,robust-mpc,18.327065834018445,3.652150721196023,12.819061850459892,16424.533333333333,18578.09701649702,3.5181728248523703,1.6312102481212791,-2.2844900144070523,2.0,13.333333333333334
53,53478,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
53,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
53,,evaluation_challenging,throughput,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
53,,evaluation_challenging,bola-basic,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
53,,evaluation_challenging,robust-mpc,9.255978395363408,4.796178351287361,16.834602847621486,16424.533333333333,18578.09701649702,2.161798075659722,1.1348879455218377,-3.020815517709151,2.0,13.333333333333334
53,53479,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
71,,evaluation_gradual,static,1.3297350492346665,0.0,0.0,13225.266666666666,15203.174447174448,5.972953000159774,2.454526969001842,-0.5404617119138526,2.0,6.666666666666667
71,,evaluation_gradual,throughput,1.3297350492346665,0.0,0.0,10026.0,12307.121937521937,8.943588268535843,3.7092550734136447,-0.29090879493075733,0.0,0.0
71,,evaluation_gradual,bola-basic,1.3297350492346665,0.0,0.0,16424.533333333333,18549.549175149175,6.156846124853628,1.943340222757978,-0.4420043103150831,7.0,13.333333333333334
71,,evaluation_gradual,robust-mpc,5.403055517169536,0.0,0.0,24422.7,26285.551983151985,5.993913823819741,2.4911671255416827,-0.3176932621370689,3.0,30.0
71,71639,evaluation_gradual,q-learning,1.3297350492346665,0.0,0.0,18024.166666666668,20314.46570726571,5.972456363638264,1.761948227380081,-0.4008990963940405,4.0,16.666666666666668
71,,evaluation_bursty,static,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
71,,evaluation_bursty,throughput,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
71,,evaluation_bursty,bola-basic,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
71,,evaluation_bursty,robust-mpc,18.327065834018445,3.652150721196023,12.819061850459892,16424.533333333333,18578.09701649702,3.5181728248523703,1.6312102481212791,-2.2844900144070523,2.0,13.333333333333334
71,71640,evaluation_bursty,q-learning,3.8955348456565657,3.652150721196023,12.819061850459892,10026.0,12307.121937521937,3.5181728248523703,1.6312102481212791,-2.3885646830910825,0.0,0.0
71,,evaluation_challenging,static,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
71,,evaluation_challenging,throughput,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
71,,evaluation_challenging,bola-basic,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
71,,evaluation_challenging,robust-mpc,9.255978395363408,4.796178351287361,16.834602847621486,16424.533333333333,18578.09701649702,2.161798075659722,1.1348879455218377,-3.020815517709151,2.0,13.333333333333334
71,71641,evaluation_challenging,q-learning,2.134590127819549,4.796178351287361,16.834602847621486,10026.0,12307.121937521937,2.161798075659722,1.1348879455218377,-3.1248901863931806,0.0,0.0
