scope,trace,controller,metric,better_when,n,mean,std,ci95_half_width,ci95_low,ci95_high
per_trace,evaluation_gradual,q-learning,high_representation_fraction_percent,descriptive,5,15.333333333333334,1.825741858350554,2.2665945086553676,13.066738824677966,17.599927841988702
per_trace,evaluation_bursty,static,startup_delay_s,lower,5,3.8955348456565657,0.0,0.0,3.8955348456565657,3.8955348456565657
per_trace,evaluation_bursty,static,rebuffering_s,lower,5,3.6521507211960236,0.0,0.0,3.6521507211960236,3.6521507211960236
per_trace,evaluation_bursty,static,rebuffering_rate_percent,lower,5,12.819061850459892,0.0,0.0,12.819061850459892,12.819061850459892
per_trace,evaluation_bursty,static,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_bursty,static,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_bursty,static,buffer_mean_s,descriptive,5,3.5181728248523703,0.0,0.0,3.5181728248523703,3.5181728248523703
per_trace,evaluation_bursty,static,buffer_std_s,lower,5,1.631210248121279,0.0,0.0,1.631210248121279,1.631210248121279
per_trace,evaluation_bursty,static,mean_objective_reward,higher,5,-2.3885646830910825,0.0,0.0,-2.3885646830910825,-2.3885646830910825
per_trace,evaluation_bursty,static,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,static,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,throughput,startup_delay_s,lower,5,3.8955348456565657,0.0,0.0,3.8955348456565657,3.8955348456565657
per_trace,evaluation_bursty,throughput,rebuffering_s,lower,5,3.6521507211960236,0.0,0.0,3.6521507211960236,3.6521507211960236
per_trace,evaluation_bursty,throughput,rebuffering_rate_percent,lower,5,12.819061850459892,0.0,0.0,12.819061850459892,12.819061850459892
per_trace,evaluation_bursty,throughput,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_bursty,throughput,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_bursty,throughput,buffer_mean_s,descriptive,5,3.5181728248523703,0.0,0.0,3.5181728248523703,3.5181728248523703
per_trace,evaluation_bursty,throughput,buffer_std_s,lower,5,1.631210248121279,0.0,0.0,1.631210248121279,1.631210248121279
per_trace,evaluation_bursty,throughput,mean_objective_reward,higher,5,-2.3885646830910825,0.0,0.0,-2.3885646830910825,-2.3885646830910825
per_trace,evaluation_bursty,throughput,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,throughput,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,bola-basic,startup_delay_s,lower,5,3.8955348456565657,0.0,0.0,3.8955348456565657,3.8955348456565657
per_trace,evaluation_bursty,bola-basic,rebuffering_s,lower,5,3.6521507211960236,0.0,0.0,3.6521507211960236,3.6521507211960236
per_trace,evaluation_bursty,bola-basic,rebuffering_rate_percent,lower,5,12.819061850459892,0.0,0.0,12.819061850459892,12.819061850459892
per_trace,evaluation_bursty,bola-basic,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_bursty,bola-basic,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_bursty,bola-basic,buffer_mean_s,descriptive,5,3.5181728248523703,0.0,0.0,3.5181728248523703,3.5181728248523703
per_trace,evaluation_bursty,bola-basic,buffer_std_s,lower,5,1.631210248121279,0.0,0.0,1.631210248121279,1.631210248121279
per_trace,evaluation_bursty,bola-basic,mean_objective_reward,higher,5,-2.3885646830910825,0.0,0.0,-2.3885646830910825,-2.3885646830910825
per_trace,evaluation_bursty,bola-basic,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,bola-basic,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,robust-mpc,startup_delay_s,lower,5,18.327065834018445,0.0,0.0,18.327065834018445,18.327065834018445
per_trace,evaluation_bursty,robust-mpc,rebuffering_s,lower,5,3.6521507211960236,0.0,0.0,3.6521507211960236,3.6521507211960236
per_trace,evaluation_bursty,robust-mpc,rebuffering_rate_percent,lower,5,12.819061850459892,0.0,0.0,12.819061850459892,12.819061850459892
per_trace,evaluation_bursty,robust-mpc,average_bitrate_kbps,higher,5,16424.533333333333,0.0,0.0,16424.533333333333,16424.533333333333
per_trace,evaluation_bursty,robust-mpc,average_payload_bitrate_kbps,higher,5,18578.09701649702,0.0,0.0,18578.09701649702,18578.09701649702
per_trace,evaluation_bursty,robust-mpc,buffer_mean_s,descriptive,5,3.5181728248523703,0.0,0.0,3.5181728248523703,3.5181728248523703
per_trace,evaluation_bursty,robust-mpc,buffer_std_s,lower,5,1.631210248121279,0.0,0.0,1.631210248121279,1.631210248121279
per_trace,evaluation_bursty,robust-mpc,mean_objective_reward,higher,5,-2.2844900144070523,0.0,0.0,-2.2844900144070523,-2.2844900144070523
per_trace,evaluation_bursty,robust-mpc,switch_count,lower,5,2.0,0.0,0.0,2.0,2.0
per_trace,evaluation_bursty,robust-mpc,high_representation_fraction_percent,descriptive,5,13.333333333333334,0.0,0.0,13.333333333333334,13.333333333333334
per_trace,evaluation_bursty,q-learning,startup_delay_s,lower,5,3.8955348456565657,0.0,0.0,3.8955348456565657,3.8955348456565657
per_trace,evaluation_bursty,q-learning,rebuffering_s,lower,5,3.6521507211960236,0.0,0.0,3.6521507211960236,3.6521507211960236
per_trace,evaluation_bursty,q-learning,rebuffering_rate_percent,lower,5,12.819061850459892,0.0,0.0,12.819061850459892,12.819061850459892
per_trace,evaluation_bursty,q-learning,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_bursty,q-learning,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_bursty,q-learning,buffer_mean_s,descriptive,5,3.5181728248523703,0.0,0.0,3.5181728248523703,3.5181728248523703
per_trace,evaluation_bursty,q-learning,buffer_std_s,lower,5,1.631210248121279,0.0,0.0,1.631210248121279,1.631210248121279
per_trace,evaluation_bursty,q-learning,mean_objective_reward,higher,5,-2.3885646830910825,0.0,0.0,-2.3885646830910825,-2.3885646830910825
per_trace,evaluation_bursty,q-learning,switch_count,lower,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_bursty,q-learning,high_representation_fraction_percent,descriptive,5,0.0,0.0,0.0,0.0,0.0
per_trace,evaluation_challenging,static,startup_delay_s,lower,5,2.134590127819549,0.0,0.0,2.134590127819549,2.134590127819549
per_trace,evaluation_challenging,static,rebuffering_s,lower,5,4.796178351287361,0.0,0.0,4.796178351287361,4.796178351287361
per_trace,evaluation_challenging,static,rebuffering_rate_percent,lower,5,16.834602847621486,0.0,0.0,16.834602847621486,16.834602847621486
per_trace,evaluation_challenging,static,average_bitrate_kbps,higher,5,10026.0,0.0,0.0,10026.0,10026.0
per_trace,evaluation_challenging,static,average_payload_bitrate_kbps,higher,5,12307.121937521937,0.0,0.0,12307.121937521937,12307.121937521937
per_trace,evaluation_challenging,static,buffer_mean_s,descriptive,5,2.161798075659722,0.0,0.0,2.161798075659722,2.161798075659722
per_trace,evaluation_challenging,static,buffer_std_s,lower,5,1.1348879455218377,0.0,0.0,1.1348879455218377,1.1348879455218377
