scope,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
overall_per_seed,all_evaluation_traces,static,switch_count,lower,q-learning_minus_static,5,1.0666666666666667,0.5477225575051662,0.6799783525966102,0.38668831407005644,1.7466450192632768,True
overall_per_seed,all_evaluation_traces,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,5,2.888888888888889,0.6085806194501846,0.7555315028851225,2.1333573860037665,3.6444203917740112,True
per_trace,evaluation_gradual,throughput,startup_delay_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,throughput,rebuffering_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,throughput,rebuffering_rate_percent,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_gradual,throughput,average_bitrate_kbps,higher,q-learning_minus_throughput,5,7358.3133333333335,876.1552604038482,1087.7160387586252,6270.597294574708,8446.029372091958,True
per_trace,evaluation_gradual,throughput,average_payload_bitrate_kbps,higher,q-learning_minus_throughput,5,7301.37715689716,966.684596754017,1200.1050359791234,6101.272120918036,8501.482192876283,True
per_trace,evaluation_gradual,throughput,buffer_mean_s,descriptive,q-learning_minus_throughput,5,-2.897376000411433,0.10099443159064606,0.12538104606690553,-3.0227570464783384,-2.7719949543445277,True
per_trace,evaluation_gradual,throughput,buffer_std_s,lower,q-learning_minus_throughput,5,-1.8747500478824048,0.09935248761934694,0.12334263019127424,-1.9980926780736792,-1.7514074176911305,True
per_trace,evaluation_gradual,throughput,mean_objective_reward,higher,q-learning_minus_throughput,5,-0.12643238703170018,0.022514252895630412,0.027950655645161797,-0.15438304267686198,-0.09848173138653837,True
per_trace,evaluation_gradual,throughput,switch_count,lower,q-learning_minus_throughput,5,5.2,1.6431676725154984,2.0399350577898305,3.1600649422101696,7.239935057789831,True
per_trace,evaluation_gradual,throughput,high_representation_fraction_percent,descriptive,q-learning_minus_throughput,5,15.333333333333334,1.825741858350554,2.2665945086553676,13.066738824677966,17.599927841988702,True
per_trace,evaluation_bursty,throughput,startup_delay_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
per_trace,evaluation_bursty,throughput,rebuffering_s,lower,q-learning_minus_throughput,5,0.0,0.0,0.0,0.0,0.0,False
